penghasilan,jumlah_tanggungan,kondisi_rumah,status_pekerjaan,pendidikan,lama_tinggal_tahun,layak_subsidi
621958,6,tidak layak,tidak bekerja,SD,6,1
1171155,7,tidak layak,buruh harian,SMA,16,1
631932,3,tidak layak,tidak bekerja,SMP,15,1
1914414,7,sederhana,petani,SD,12,1
759178,2,tidak layak,tidak bekerja,SD,14,1
610268,4,sederhana,tidak bekerja,SD,23,1
1232180,4,sederhana,petani,SD,5,1
1603462,7,tidak layak,buruh harian,SD,15,0
637337,3,tidak layak,tidak bekerja,SD,5,1
1499890,2,sederhana,tidak bekerja,SMA,14,1
1636074,7,tidak layak,tidak bekerja,SD,19,1
1412756,6,sederhana,tidak bekerja,SD,13,1
675203,3,tidak layak,buruh harian,SMA,23,1
1739911,5,sederhana,buruh harian,SD,6,1
778167,6,sederhana,petani,SMP,10,1
541090,7,sederhana,buruh harian,SMA,13,1
829365,5,sederhana,buruh harian,SD,9,1
1613396,5,tidak layak,petani,SMP,11,1
1287201,6,tidak layak,petani,SD,8,1
1870455,5,tidak layak,buruh harian,SMP,10,1
827069,4,tidak layak,tidak bekerja,SD,12,1
1747617,6,tidak layak,buruh harian,SD,5,1
1291743,3,tidak layak,petani,SMP,23,1
603355,4,sederhana,buruh harian,SMP,18,1
1784372,3,tidak layak,petani,SD,22,1
1762752,2,tidak layak,buruh harian,SD,6,1
684779,3,tidak layak,petani,SD,15,1
1896025,6,sederhana,tidak bekerja,SD,10,1
1970485,3,tidak layak,petani,SMA,24,1
1489436,2,tidak layak,petani,SD,9,1
1807371,5,tidak layak,petani,SD,12,1
986232,6,tidak layak,petani,SMP,5,1
1417040,7,sederhana,petani,SD,15,1
656730,4,sederhana,tidak bekerja,SMP,15,1
1933257,4,sederhana,petani,SD,12,0
1698079,3,sederhana,petani,SD,6,1
1154811,4,sederhana,buruh harian,SMP,15,1
1027035,2,tidak layak,tidak bekerja,SD,12,1
1148143,7,tidak layak,petani,SMP,6,1
565725,4,tidak layak,buruh harian,SMP,7,1
1678557,3,tidak layak,buruh harian,SMA,24,1
584654,4,sederhana,buruh harian,SD,13,1
1453277,5,tidak layak,buruh harian,SMP,15,0
1091723,5,sederhana,tidak bekerja,SMP,9,0
819030,4,tidak layak,petani,SD,22,1
1877523,6,tidak layak,buruh harian,SD,17,1
1055839,7,sederhana,tidak bekerja,SMP,8,1
773538,4,sederhana,petani,SD,20,1
831236,5,tidak layak,buruh harian,SD,8,1
1028178,5,tidak layak,buruh harian,SMA,16,1
1065894,2,tidak layak,buruh harian,SD,10,1
989492,3,tidak layak,buruh harian,SD,14,1
1805416,2,tidak layak,buruh harian,SMP,8,1
973254,6,tidak layak,petani,SD,7,0
849457,3,tidak layak,petani,SD,14,1
1165987,4,tidak layak,buruh harian,SMP,14,1
1819512,4,tidak layak,petani,SD,7,1
1788507,6,tidak layak,tidak bekerja,SD,23,1
1788205,7,sederhana,tidak bekerja,SD,17,1
1753617,5,tidak layak,tidak bekerja,SD,20,1
1198361,7,tidak layak,buruh harian,SMP,19,1
1965689,4,tidak layak,buruh harian,SD,11,1
568148,2,tidak layak,petani,SD,16,1
1148531,5,tidak layak,petani,SMP,8,1
1800571,4,tidak layak,tidak bekerja,SMP,5,1
1406606,5,tidak layak,buruh harian,SMP,12,1
1178843,7,sederhana,tidak bekerja,SD,5,1
1072843,3,sederhana,buruh harian,SD,24,1
